Австрия|オーストリア [о:суториА]
Америка|アメリカ [америкА]
Англия|イギリス [игирисУ]
Вьетнам|ベトナム [бЭтонаму]
Германия|ドイツ [дойцУ]
Голландия|オランダ [орАнда]
Греция|ギリシャ [гИришя]
Европа|ヨーロッパ [ё:роппА]
Египет|エジプト [Эджипто]
Индия|インド [Индо]
Индонезия|インドネシア [Индонешиа]
Иран|イラン [Иран]
Испания|スペイン [супЕйн]
Исландия|アイスランド [Аисурандо]
Италия|イタリア [итариА]
Канада|カナダ [кАнада]
Китай|チューゴク [чю:гокУ]
Малайзия|マレーシア [марЭ:шиа]
Мексика|メキシコ [мЕкишико]
Норвегия|オルウエー [нору:Э:]
Россия|ロシア [рОшиа]
Румыния|ルーマニア [ру:маниа]
Саудовская Аравия|サウジアラビア [саУджиАрабиа]
Сингапур|シガプール [шИнгапу:р]
Тайланд|タイ [тАй]
Франция|フランス [фурансУ]
Филиппины|フィリピン [фИрипин]
Швейцария|スイス [суИсу]
Южная Корея|かんこく [канкОку]
Япония|にほん [нихОн]
