ロシアじん|ロシア人 (русский)
あの ひと|あの人 (этот человек)
3ニン|3人 (3 человека)
おとこ|男 (мужик)
おんな|女 (баба)
おとこのひと|男の人 (мужчина)
おんなのひと|女の人 (женщина)
こども|子ども (ребенок)
おんなのこ|女の子 (девочка)
おとこのこ|男の子 (мальчик)
くるま|車 (машина)
やま|山 (гора)
やまださん|山田さん (господин Ямада)
かわ|川 (река)
ナイルがわ|ナイル川 (река Нил)
たんぼ|田んぼ (рисовое поле)
こめ|米 (рис)
あめ|雨 (дождь)
じてんしゃ|じてん車 (электричка)
かのじょ|かの女 (гёрлфренд, любовница)
ひとりで|一人で (один человек)
うえ|上 (над, верх (стола))
たなかさん|田中さん (господин Танака)
なか|中 (середина, внутри)
ちかてつ|ち下てつ (метро)
した|下 (под (землей), ниже)
ひだり|左 (влево, лево, левый)
みぎ|右 (вправо, право, правый)
あかるい|明るい (яркий свет)
あした|明日 (завтра)
やすみ|休み (отдых)
はやし|林 (роща)
もり|森 (лес)
すきな|好きな (нравиться)
