я|わたし [ватащИ]
ты (вы)|あなた [анатА]
вон тот|あの [анО]
он, она, вон тот человек|あのひと [анО хитО]
(он, она, вон тот человек)|あのかた [анОкатА]
~ господин, госпожа|さん [сан]
~ ребенок|ちゃん [чан]
~ человек|じん [дзин]
учитель (о ком-то)|せんせい [сенсЭ]
учитель (о себе)|きょうし [кё:шИ]
студент|がくせい [гакусЭ]
служащий фирмы|かいしゃいん [кайшаИн]
~ служащий фирмы|しゃいん [шаИн]
служащий банка|ぎんこういん [гинко:Ин]
врач|いしゃ [ишА]
ученый|けんきゅうしゃ [кэнкЮ:ша]
университет|だいがく [дайгАку]
больница|びょういん [бё:Ин]
кто|だれ [дарЭ]
(кто)|どなた [донатА]
~ лет|さい [сай]
да|はい [хАй]
нет|いいえ [ииЭ]
спасибо|ありがとう [аригатО:]
(спасибо)|ありがとう ございます [аригатО: годзаимАс]
доброе утро|おはよう [охаЁ]
(доброе утро)|おはよう ございます [охаЁ годзаимАс]
добрый день|こんにちは [коннИчива]
добрый вечер|こんばんは [комбанвА]
до свидания|さよなら [саЁнара]
разрешите представиться|はじめまして [хадзимэмашИтэ]
прошу вас, будьте добры|おねがいします [онэгАишимас]
пожалуйста|ください [кудасАй]
извините|すみません [сумимасЭн]
хорошо|いいです [иидЭс]
имя|なまえ [намаЭ]
пожалуйста (предложение кому-либо чего-либо)|どうぞ [дО:зо]
это|こちら [кочирА]
работа|しごと [шиготО]
император|てんのう [теннО:]
певец|かしゅ [кашЮ]
король|おうさま [о:самА]
актер|はいゆう [хайЮ:]
художник|がか [гакА]
писатель|さっか [саккА]
сколько лет?|なんさい ですか？ [нансАй дэскА]
(сколько лет?)|おいくつ ですか？ [оЙкуцу дэскА]
как вас зовут?|おなまえは [онамАэва]
где работаете?|あしごとは [ашиготОва]
из какой вы страны?|なにじん ですか [наниджИн дэска]
вам понятно?|わかります か [вакаримАс ка]
не понятно / не знаю|わかりますえん [вакаримАсен]
приятно познакомиться|どうぞ よろしく (おねがいします) [дО:зо ёрошикУ (онэгаишимАс)]
ещё раз, пожалуйста|もういちど おねがいします [мо:ичидО онэгаишимАс]
приехал из|きました [кимашитА]
Извините, но ~ ?|しつれいですが [шицурЭидэсга]
~ не являюсь (конец отрицания в предложении)|じゃ ありません [джа аримасен]
вам спасибо, взаимно (в ответ на чью-то благодарность)|こちらこそ [кочиракосО]
пожалуйста (в ответ на чью-то благодарность)|どういたしまして [до:иташимашитЭ]
мы встречаемся впервые (произносится при первом знакомстве)|はじめまして [хадзимемашитЕ]
