иметь ребенка|こどもが　います [кодомО га имАс]
находиться в Японии|にほんに います [нихОн ни имАс]
требоваться (о вермени, деньгах)|かかります [какаримАс]
брать отпуск/выходной на работе|かいしゃを やすみます [кАйшао ясумимАс]
один (числ.)|ひとつ [хитОцу]
два (кол. числ.)ふたつ| [футАцу]
три (кол. числ.)|みっつ [миццУ]
четыре (кол. числ.)|よっつ [ёццУ]
пять (кол. числ.)|いつつ [ицУцу]
шесть (кол. числ.)|むっつ [муццУ]
семь (кол. числ.)|ななつ [нанацУ]
восемь (кол. числ.)|やっつ [яццУ]
девять (кол. числ.)|ここのつ [коконоцУ]
десять (кол. числ.)|とお [тО:]
сколько?|いくつ [икУцу]
один человек|ひとり [хитОри]
два человека|ふたり [футАри]
счетный суффикс для людей|~にん [нИн]
счетный суффикс для машин и механизмов|~だい [дАй]
счетный суффикс для листов бумаги|まい [мАй]
~раз|~かい [кАй]
яблоко|りんご [рИнго]
мандарин|みかん [мИкан]
бутерброд|サンドイッチ [сандоИччи]
соус карри (с рисом)|カレー [карЭ:]
мороженое|アイスクリーム [аисукурИ:му]
почтовая марка|きって [китте]
почтовая открытка|はがき [хагакИ]
конверт|ふうとう [фу:тО:]
родители|りょうしん [рЁ:шин]
братья и сёстры|きょうだい [кЁ:дай]
мой старший брат|おに [онИ]
чей-то старшый брат|おにいさん [онИ:сан]
моя старшая сестра|あね [анЭ]
чья-то старшая сестра|あねえさん [анЭ:сан]
мой младший брат|おとうと [отО:то]
чей-то младший брат|おとうとさん [отО:тосан]
моя младшая сестра|いもうと [имО:то]
чья-то младшая сестра|いもうとさん [имО:тосан]
заграница|がいこく [гайкОку]
иностранный студент|りゅうがくせい [рЮ:гакусЭй]
класс, группа|クラス [курАсу]
~ часов|~じかん [джИкан]
~ недель|~しゅうはん [шЮ:кан]
~ месяцев|~かげつ [кагЕцу]
~ лет|~ ねん [нЭн]
примерно ~|~ぐらい [гурАй]
примерно сколько?|どのくらい [дОнокУрай]
всё, всего|ぜんぶで [дзенбудЭ]
всё|みんな [мИнна]
только ~|~だけ [дакЕ]
