развлекаться, играть|あそびます [асобИ:мас]
плавать|およぎます [оЁгимас]
встречать, принимать|むかえます [мукаЭмас]
уставать|つかれまし [цукарэмАс]
жениться, выходить замуж|けっこんします [кекконшимАс]
делать покупки|かいものします [каймоношимАс]
есть, принимать пищу|しょくじします [шёкуджишимАс]
прогуляться, гулять|さんぽします [санпошимАс]
гулять в парке|こうえんを　さんぽします [кО:эно санпошимАс]
трудный, тяжелый|たいへん(な) [тайхЭн(на)]
желаемый, хотеть|ほしい [хошИ:]
широкий|ひろい [хИрой]
узкий, тесный|せまい [сЕмай]
бассеин|プール [пУ:ру]
река|かわ [кавА]
изобразительное искусство|いじゅつ [биджюцу]
рыбалка|つり [цурИ]
ловить рыбу|つりを　します [цурИо шимАс]
лыжи, лыжный спорт|スキー [скИ:]
конец недели, выходные|しゅうまつ [шЮ:мацу]
новый год|おしょうがつ [ошЁ:гацу]
примерно, около (о времени)|~ごろ [~горО]
что-то, что-нибудь|なにか [нАника]
где-то, где-нибудь|どこか [дОкока]
испытывать жажду, хотеть пить|のどが　かわきます [нодОга кавакимАс]
быть голодным, хотеть есть|おなかが　すきます [онАкага сукимАс]
давайте так и сделаем|そう　しましょう [сО:шимашЁ:]
