включать, зажигать|つけます(II) [цкемас]
выключать, гасить|けします(I) [кешимас]
открывать (дверь, окно)|あけます(II) [акЕмас]
закрывать (дверь, окно)|しめます(II) [шимЕмас]
спешить, торопиться|いそぎます(I) [исОгимас]
ждать|まちます(I) [мачИмас]
держать|もちます(I) [мочИмас]
брать, взять, получать, передавать (соль и тп)|とります(I) [торИмас]
помогать (в работе и пр)|てつだいます(I) [тецудАймас]
звать, назвать (имя), вызвать (такси)|よびます(I) [ёбИмас]
говорить, разговаривать|はなします(I) [ханАшимас]
использовать|つかいます(I) [цукАймас]
останавливать, остановить (машину), скрепить (скотчем)|とめます(II) [томЕмас]
показывать (паспорт, фотографии)|みせます(II) [мисЕмас]
объяснять, объяснить (дорогу), сказать (номер телефона), сообщить (адрес)|おしえます(II) [ошиЭмас]
сказать адрес|じゅうしょを おしえます [джЮ:шёО ошиЭмас]
садиться|すわります(I) [сувАримас]
вставать|たちます(I) [тачИмас]
входить|はいります(I) [хайрИмас]
входить в кафе|きっさてんに はいります [киссАтеннИ хайрИмас]
выпадать, идти (об осадках)|ふります(I) [фУримАс]
идет дождь|あめが　ふります [амЭгА фУримас]
копировать (на копировальной машине)|コピーします(III) [копИ:шимас]
электричество, электрический свет|でんき [дЕнки]
кондиционер|エアコン [эакОн]
паспорт|パスポート [пасупО:то]
адрес|じゅうしょ [джЮ:шё]
карта|ちず [чидзУ]
соль|しお [шиО]
сахар|さとう [сатО:]
вопрос, задание, задача|もんだい [мондАй]
ответ|こたえ [котАэ]
как читается, произносится|よみかた [ёмикатА]
способ, образ, характер действий|~かた [катА]
прямо, не сворачивая|まっすぐ [массУгу]
медленно, не спеша|ゆっくり [юккУри]
сразу|すぐ [сугУ]
снова, опять|また [матА]
потом, позднее|あとで [атодЕ]
еще немного|もう　すこし [мО: сукошИ]
еще раз, еще один день, еще один человек|もう~ [мО:]
сдача|おつり [оцурИ]
