класть, ставить|おきます(I) [окИмас]
делать, производить, создавать, готовить|つくります(I()) [цукурИмас]
продавать|うります(I) [урИмас]
узнавать|しります [ширИмас]
селиться, жить|すみます(I) [сУмимас]
изучать, исследовать|けんきゅうします(III) [кенкЮ:шимас]
материалы, данные|しりょう [ширЁ:]
каталог|カタログ [катарОгу]
расписание поездов|じこくひょう [джикОкухЁ:]
одежда|ふく [фкУ]
изделие, продукт, товар|せいひん [сЕйхИн]
программное обеспечние|ソフト [сОфто]
электронный словарь|でんしじしょ [деншИджИшё]
экономика|けいざい [кейдзАй]
мэрия|しやくしょ [шиякушЁ]
старшая школа|こうこう [кО:кО:]
зубной врач|はいしゃ [хАйшя]
холостой, одинокий|どくしん [докушИн]
дамы и господа|みなさん [мИнасан]
вспоминать|おもいだします(I) [омОйдашимас]
быть (вежл. эквивалент います)|いらっしゃいます(I) [ирашшЯймас]
