ехать, садиться (о транспорте)|のります (норИмас)
ездить в транспорте|~に のります [~ни норИмас]
ехать на поезде|でんしゃに　のります (денщЯни норИмас)
выходить, сходить (о транспорте)|おります (орИмас)
выходить из поезда|でんしゃを　おります (деншЯо норИмас)
делать пересадку (о транспорте)|のりかえます (норИкаэмас)
обливаться, быть облитым|あびます (абИмас)
принимать душ|シャワーを あびます (шявА:о абИмас)
вкладывать, вставлять, опускать|いれます (ирЭмас)
подавать (доклад), отправлять (письмо), доставать (из портфеля)|だします (дашИмас)
снимать, опускать|おろします (орошИмас)
снимать деньги со счета|おかねを おろします (окАнэо орошИмас)
поступить в университет|だいがくに はいりします (дайгАкуни хайрИшимас)
окончить университет|だいがくを　でます (дайгАкуо дЕмас)
толкать, нажимать, теснить|おします (ошИмас)
начинать|はじめます (хаджИмемас)
посещать, осматривать|けんがくします (кенгАкушимас)
звонить по телефону|でんわします (дэнвАшИмас)
молодой|わかい (вакАй)
длинный|ながい (нагАй)
короткий|みじかい (миджикАй)
светлый|あかるい (акарУй)
темный|くらい (курАй)
тело|からだ (карадА)
голова|あたま (атамА)
волосы|かみ (камИ)
лицо|かあ (кА:)
глаз, глаза|め (мЕ)
ухо, уши|みみ (мИмИ)
нос|はな (ханА)
рот|くち (кучИ)
зуб, зубы|は (хА)
живот|おなか (онАка)
нога, ноги|あし (ашИ)
спина|せ (сЕ)
обслуживание, сервис|サービス (сА:бису)
спортивный бег|ジョギング (джЁгингу)
совершать пробежку|ジョギングを します (джЁгингуо шИмас)
душ|シャーワ (шЯ:ва)
зеленый, зелень|みどり (мидОри)
буддистский храм|おてら (отЕра)
синтоистский храм|じんじゃ (джИнджя)
как, каким образом|どうやって (до:Ятте)
который, какой ~ (при выборе из трех и более предметов)|どの~ (дОно)
который, какой (из трех и более предметов)|どれ (дорЕ)
затем, далее|つぎに (цугинИ)
кнопка, клавиша|ボタン (ботАн)
сначала, в первую очередь|まず (мадзУ)
