это, рядом с говорящим|これ [корЭ]
то, рядом с собеседником|それ [сорЭ]
вон то, одинаково удалено от говорящего и от собеседника|あれ [арЭ]
этот, рядом с говорящим|この [конО]
тот, рядом с собеседником|その [сонО]
вот тот, одинаково удалено от говорящего и от собеседника|あの [анО]
книга|ほん [хОн]
словарь|じしょ [джишЁ]
журнал|ざっし [дзашшИ]
газета|しんぶん [шимбУн]
тетрадь|ノート [но:тО]
записная книжка, блокнот|てちょう [тэчЁ:]
визитная карточка|めいし [мейшИ]
кредитная карта, карточка, открытка|カード [ка:дО]
карандаш|えんぴつ [эмпИцу]
шариковая ручка|ボールペン [бО:рупэн]
автоматический карандаш|シャープペンシル [шЯЯпупэнширу]
ключ|かぎ [кагИ]
часы|とけい [токЭй]
зонт|かさ [касА]
портфель, кейс|かばん [кабАн]
диск|CD
телевизор|テレビ [тэрэбИ]
радио|ラジオ [раджИо]
фотоаппарат|カメラ [камэрА]
компьютер|コンピューター [компьютА:]
автомобиль|くるま [курумА]
стол|つくえ [цукуЭ]
стул|いす [исУ]
шоколад|チョコレート [чёкорЭ:то]
кофе|コーヒー [кО:хии]
подарок, сувенир|おみやげ [омиягЭ]
~ язык|~ご [го]
английский язык|えいご [эЙго]
японский язык|にほんご [нихОнго]
что?|なん [нАн]
так|そう [сО:]
малина|きいちご [кичигО]
школа доп. обучения|じゅく [джюкУ]
ясно / понятно|そですか [сОдэска]
не так|ちがいます [чигаимАс]
большое спасибо!|どおも　ありがとう　(おねがいします) [до:мО аригатО: (онэгаишимАс)]
С надеждой на вашу поддержку (произносится при знакомстве вновь прибывшим)|これから　おせわに　なります [корэкарА осэванИ наримАс]
Мне тоже приятно познакомиться|こちらこそ　どうぞ　よろしく [кочиракосО дО:зо ёрошикУ]
что это? (укороченная версия)|なに [нАни]
вот как|ええ [Э:]
понял (прош. время)|わかりました [вакаримАшта]
