здесь, рядом с говорящим|ここ [кокО]
там, рядом с собеседником|そこ [сокО]
вон там, очень далеко от обоих|あそこ [асокО]
где?|どこ [докО]
(где?)|どちら [дочирА]
(здесь), рядом с говорящим|こちら [кочирА]
(там), рядом с собеседником|そちら [сочирА]
(вон там), очень далеко от обоих|あちら [ачирА]
комната, помещение|しつ [шицУ]
аудитория, класс|きょうしう [кёёшитсУ]
столовая|しょくどう [шёкудОО]
офис администрации, администрация|じむしょ [джимушЁ]
зал заседаний|かいぎしつ [кайгишицУ]
ресепшен, регистратура, приёмная|うけつけ [укЕтсукЕ]
вестибюль, холл|ロビー [робИИ]
комната|へや [хэЯ]
уборная|おてあらい [отэарАй]
туалет|トイレ [тоирЭ]
лестница|かいだん [кайдАн]
лифт|エレベーター [эрэбээтАА]
эскалатор|エスカレーター [эскарээтАА]
торговый автомат|じどうはんばいき [джидОО хамбайкИ]
торговый автомат сокращенно|はんばいき [хамбайкИ]
телефон, телефонный разговор|でんわ [денвА]
мобильный телефон|テータイ [тээтАй]
смартфон|スマホ [сумахО]
страна|(お)くに [(о)кунИ]
компания, фирма|かいしゃ [кайшА]
дом|うち [учИ]
обувь|くつ [кутсУ]
галстук|ネクタイ [нэкутАй]
вино|ワイン [вАйн]
прилавок, отдел в магазине|うりば [урибА]
подвал, подвальный этаж|ちか [чикА]
~ этаж|~ かい [кАй]
какой этаж?|なんかい [нанкАй]
~ йен|えん [Эн]
сколько стоит?|いくら [икурА]
спасибо|どうも [доомО]
чтож..|じゃ [джЯ]
Добро пожаловать!|いらっしゃいませ [ирашшяимасЭ]
Пожалуйста, покажите ~|~を みせて　ください [вО миситЭ кудасАй]
Пожалуйста, дайте ~|~を ください [вО кудасАй]
