вставать, просыпаться|おきます [окИмас]
ложиться спать, спать, пребывать в покое|ねます [нЭмас]
работать|はたらきます [хатаракИмас]
отдыхать, брать отпуск, отсутствовать по уважительной причине|やすみます [ясумИмас]
заниматься, учиться|べんきょうします [бэнкёёшИмас]
заканчивать, заканчиваться|おわります [оварИмас]
универмаг|デパート [дэпААто]
банк|ぎんこう [гинкОО]
почта|ゆうびんきょく [ююбинкёкУ]
публичная библиотека|としょかん [тошёкАн]
художественный музей|びじゅつかん [биджюцукАн]
сейчас|いま [имА]
~ часов|~ じ [джИ]
~ минут|~ ふん [фУн] или ぷん [пУн]
половина (седьмого), 30 минут|はん [хАн]
сколько часов, сколько времени|なんじ [нанджИ]
сколько минут|なんぷん [нанпУн]
первая половина дня|ござん [годзАн]
вторая половина дня|ごご [гогО]
утро|あさ [асА]
день|ひる [хирУ]
вечер|ばん [бАн]
ночь|よる [ёрУ]
позавчера|おととい [ототОй]
вчера|きのう [кинОО]
сегодня|きょう [кЁЁ]
завтра|あした [ашитА]
послезавтра|あさって [асаттЭ]
сегодня утром|けさ [кэсА]
сегодня вечером|こんばん [комбАн]
выходной день, праздничный день, отдых, перерыв|やすみ [ясумИ]
обеденный перерыв|ひるやすみ [хируясумИ]
экзамен|しけん [шикЭн]
собрание|かいぎ [кАЙги]
кинофильм|えいが [эйгА]
каждое утро|まいあさ [майасА]
каждый вечер|まいばん [майбАн]
каждый день|まいにち [майничИ]
понедельник|げつようび [гэтсуЁЁби]
вторник|かようび [каЁЁби]
среда|すいようび [суйЁЁби]
четверг|もくようび [мокуЁЁби]
пятница|きんようび [кинЁЁби]
суббота|どようび [доЁЁби]
воскресенье|にちようび [ничиЁЁби]
какой день недели|なんようび [нанЁЁби]
конец недели|しゅうまつ [шЮЮмацу]
с ~|~から [карА]
до ~|~まで [мадЭ]
и (соединительная частица)|~と~ [тО]
かん|помещение [кАн]
