есть|たべます [табемАс]
пить, глотать|のみます [номимАс]
курить|すいます [суймАс]
смотреть|みます [мимАс]
слушать, слышать|ききます [кикимАс]
читать, произносить|よみます [емимАс]
писать письмо, рисовать|かきます [какимАс]
покупать|かいます [каймАс]
снимать фотографию|とります [торимАс]
делать|します [шимАс]
встречать|あいます [аймАс]
еда, вареный рис|ごはん [гохАн]
завтрак|あさごはん [асА-гохАн]
обед, ланч|ひるごはん [хирУ-гохАн]
ужин|ばんごはん [бАн-гохАн]
хлеб|パン [пАн]
яйцо|たまご [тамагО]
мясо|にく [никУ]
говядина|ぎゅうにく [гююникУ]
куриное мясо|とりにく [ториникУ]
свинина|ぶたにく [бутаникУ]
ветчина|ハム [хамУ]
сосиски|ソーセジ [сооседжИ]
рыба|さかな [саканА]
овощи|やさい [ясАй]
морковь|にんじん [нинджИн]
картошка|じゃがいも [джягаймО]
капуста|キャベツ [кябецУ]
огурцы|きゅうり [кююрИ]
фрукты|くだもの [кудамОно]
арбуз|すいか [суйкА]
мандарин|みかん [микАн]
виноград|ぶどう [будОО]
вода|みず [мидзУ]
зеленый чай (японский)|おちゃ [очЯ]
черный чай (английский)|こうちゃ [коочЯ]
молоко|ぎゅうにゅう [гююнЮЮ]
сок, безалкогольные напитки|ジュース [джЮЮсу]
пиво|ビール [биирУ]
саке, спиртное|(お)さけ [сакЕ]
табак, сигареты|たばこ [табакО]
письмо|てがみ [тегамИ]
доклад|レポート [репООто]
фотография|しゃしん [шяшИн]
видео|ビデオ [бидеО]
магазин, мастерская|みせ [мисЕ]
сад|にわ [нивА]
домашнее задание|しゅくだい [шюкудаИ]
теннис|テニス [тенисУ]
футбол|サッカー [саккА]
любование цветением сакуры|おはなみ [оханамИ]
что?|なに [нанИ]
вместе|いっしょい [ишшЕни]
немного|ちょっと [четтО]
всегда|いつも [ицумО]
иногда|ときどき [токидокИ]
после, затем|それから [сорЕкарА]
после, затем (альт.)|そして [сошитЕ]
да|ええ [ЭЭ]
хорошо, с удовольствием|いいですね [иидеснЕ]
да? что? (в ответ на обращение)|なんですか [нандескА]
ロープウエー|канатная дорога [роопууЭЭ]
