красавец, привлекательный (о мужчине)|ハンサム(な) [хандсамУ]
красивый, чистый|きれい(な) [кирЕ:]
тихий, спокойный|しずか(な) [шизукА]
оживленный, шумный (в положительном ключе)|にぎやか(な) [нигиякА]
знаменитый|ゆうめい(な) [Юмэй]
добрый, доброжелательный|しんせつ(な) [шинсетцУ]
здоровый, бордый|げんき(な) [гЭнки]
свободный (о времени)|ひま(な) [химА]
удобный|べんり(な) [бэнрИ]
красивый, изящный|すてき(な) [сутекИ]
большой, обширный|おおきい [о:кИ:]
маленький|ちいさい [чи:сАй]
новый|あたらしい [атарашИ:]
старый (о неод. предметах)|ふるい [фурУй]
хороший|いい [И:]
плохой|わるい [варУй]
не хороший (используется чаще, чем わるい)|えくない [Ёкунай]
жаркий, горячий|あつい [ацУй]
холодный (о температуре, например, воздух)|さむい [самУй]
холодный, прохладный|つめたい [цуметАй]
трудный, сложный|むずかしい [музукашИ:]
легкий, простой|やさしい [ясашИ:]
высокий, дорогой|たかい [такАй]
дешевый (о цене)|やすい [ясУй]
низкий|ひくい [хикУй]
интересный (книга, человек, и тд)|おもしろい [омоширОй]
вкусный|おいしい [ойшИ:]
занятый (нет времени)|いそがしい [исогашИ:]
радостный, приятный, веселый|たのしい [таношИ:]
белый|しろい [ширОй]
черный|くろい [курОй]
красный|あかい [акАй]
синий, голубой|あおい [аОй]
сакура|さくら [сакурА]
гора|やま [Яма]
(небольшой) город|まち [мачИ]
продукты, еда|たべもの [табемонО]
место|ところ [токорО]
общежитие|りょう [рЁ:]
ресторан|レストラン [ресуторАн]
жизнь, быт|せいかつ [сейкуцУ]
работа|しごと [шиготО]
как?|どう [дО:]
какой, что за, какого качества?|どんな [доннА]
а также|そして [сошитЕ]
но, однако|~が [~гА]
как дела, как здоровье?|おげんき　ですか? [огЭнки дэска]
Все хорошо. (ответ на "Как дела?")|はい、げんき　です [хАй, гЭнки дэс]
