понимать, знать|わかります [вакаримАс]
иметь, быть в наличии|あります [аримАс]
любимый|すき(な) [сукИ(на)]
нелюбимый, противный, ненавистный|きらい(な) [кирАй(на)]
умелый|じょうず(な) [джЁ:зу(на)]
неумелый|へた(な) [хетА(на)]
напитки, питье|のみもの [номимонО]
блюдо, кухня, кулинария|りょうり [рЁ:ри]
спорт|スポーツ [супО:цу]
бейсбол|やきゅう [якЮ:]
танец|ダンス [дансУ]
поездка, путешествие|りょこう [рёкО:]
музыка|おんがく [онгакУ]
песня|うた [утА]
классическая музыка|クラシック [курашиккУ]
джаз|ジャズ [джЯзу]
концерт|コンサート [консА:то]
караоке|カラオケ [караОке]
кабуки|かぶき [кабУки]
картина|え [Э]
знак, буква|じ [джИ]
иероглиф|かんじ [кАнджи]
хирагана|ひらがな [хирагАна]
катакана|カタカナ [катакАна]
латинские буквы|ローマジ [рО:маджи]
мелкий|こまかい [комАкай]
мелкие деньги|こまかい　おかね [комАкай окАне]
билет (на концерт)|チケット [чикеттО]
время|じかん [джикАн]
дело, занятие (в смысле: время занято)|ようじ [Ё:джи]
обещание, договоренность о встрече|やくそく [якусОку]
подработка|アルバイト [арубАйто]
чей-то муж|ごじゅじん [гошЮджин]
мой муж|おっと [оттО]
чья-то жена|おくさん [окУсан]
моя жена|つま [цУма]
ребенок|こども [кодомО]
хорошо|よく [Ёку]
примерно, около|だいたい [дАйтАй]
много (есть, заниматься)|たくさん [такУсан]
мало|すこし [сукошИ]
совсем не|ぜんぜん [дзЕндзЕн]
рано (вставать), быстро (бегать)|はやく [хаякУ]
~ потому что|~ から [карА]
почему|どうして [дО:шите]
